Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460585.2324739,82,211,206,136,396,39,30,27
1751460585.2574093,75,209,206,118,282,36,29,26
1751460585.292348,59,202,197,113,221,32,31,25
1751460585.3302407,55,139,117,83,293,34,26,23
1751460585.352405,46,140,121,86,295,35,25,22
1751460585.3753426,40,141,108,81,281,38,22,22
1751460585.3982167,36,122,104,76,269,37,20,23
1751460585.436095,30,80,86,77,337,33,22,21
1751460585.4899514,30,76,89,79,361,30,23,22
1751460585.510922,49,75,84,72,353,29,25,22
1751460585.5567997,53,91,92,70,305,27,23,21
1751460585.5777435,51,84,79,71,414,31,24,22
1751460585.6316292,43,101,99,77,406,34,24,22
1751460585.6605244,58,101,103,79,339,37,28,22
1751460585.6994214,57,104,106,78,321,35,27,21
1751460585.7283747,52,100,93,98,297,39,28,22
1751460585.7492876,36,94,74,87,286,33,23,21
1751460585.7722545,38,97,73,87,306,34,26,23
1751460585.7951949,39,92,68,71,295,30,26,24
1751460585.8320656,41,82,63,61,332,32,26,24
1751460585.856003,35,73,63,70,319,33,25,23
1751460585.8919334,32,68,75,89,335,33,21,19
1751460585.9158733,27,68,67,99,288,33,23,22
1751460585.9517457,34,80,84,129,321,32,22,70
1751460585.9756825,33,82,85,128,317,36,23,73
1751460586.0126133,36,84,84,116,326,44,22,74
1751460586.0425332,33,66,79,100,260,46,24,59
1751460586.0804017,34,62,100,256,301,83,31,33
1751460586.1123729,34,80,103,262,399,85,33,30
1751460586.1322925,36,94,121,292,411,85,33,27
1751460586.163239,42,120,105,219,384,81,31,23
1751460586.2001116,48,122,108,185,345,50,32,25
1751460586.2390084,48,111,116,192,339,49,33,25
1751460586.2829185,45,121,105,138,430,42,29,22
1751460586.3208158,47,127,97,152,425,43,26,22
1751460586.3427577,51,120,98,151,454,46,25,22
1751460586.3656695,52,124,110,225,533,57,25,24
1751460586.4026012,41,114,102,237,548,66,25,25
1751460586.449472,48,105,96,233,534,71,26,24
1751460586.478394,56,90,105,206,451,70,28,24
1751460586.5142987,56,90,112,208,399,61,28,25
1751460586.5382073,48,80,110,188,418,61,26,24
1751460586.5601482,41,71,96,145,324,56,29,28
1751460586.5980747,33,54,51,134,341,66,28,25
1751460586.6429274,56,36,44,132,370,61,31,25
1751460586.6808524,62,43,57,144,429,48,27,24
1751460586.7187252,63,53,61,177,482,42,25,22
1751460586.7630165,50,54,61,172,417,39,22,23
1751460586.8009148,53,46,46,104,386,40,22,23
1751460586.8388152,44,40,47,103,347,46,25,24
1751460586.883694,43,49,56,121,432,66,30,24
1751460586.9126163,34,48,63,166,526,89,35,29
1751460586.93457,33,45,63,176,538,92,35,27
1751460586.9584947,36,41,66,178,503,105,40,31
1751460587.0103557,36,38,57,160,497,106,38,26
1751460587.0322964,36,37,54,117,439,95,33,26
1751460587.0552356,29,33,46,109,437,70,27,22
1751460587.0932178,29,34,48,94,347,63,27,24
1751460587.1151588,30,30,39,81,292,59,26,25
1751460587.138098,29,30,43,77,279,77,30,24
1751460587.1749992,27,25,35,65,280,92,33,22
1751460587.1979415,26,26,34,71,295,93,33,22
1751460587.2348425,22,25,32,72,285,80,30,21
1751460587.2577815,25,29,35,70,279,69,28,22
1751460587.2807195,25,29,36,64,209,73,28,21
1751460587.318239,23,31,38,86,323,73,31,21
1751460587.3401492,22,31,36,84,314,77,33,22
1751460587.3850284,25,29,31,86,320,116,36,22
1751460587.4150052,29,29,32,74,288,222,48,27
1751460587.4379168,32,31,35,80,326,322,56,30
1751460587.4608827,30,35,40,85,336,347,68,29
1751460587.497784,29,35,36,84,326,386,70,26
1751460587.520695,31,33,35,80,347,383,65,25
